millis,T_SHT40,RH_SHT40,CO2_SCD30,T_SCD30,RH_SCD30
611,25.81,52.66,0.00,0.00,0.00
30671,25.88,51.91,320.00,26.00,49.33
millis,T_SHT40,RH_SHT40,CO2_SCD30,T_SCD30,RH_SCD30
84,25.73,50.68,327.00,27.32,45.56
millis,T_SHT40,RH_SHT40,CO2_SCD30,T_SCD30,RH_SCD30
84,25.72,50.65,327.00,27.29,45.47
30139,25.71,51.64,326.00,27.37,45.48
60184,25.74,50.87,326.00,27.44,45.14
90230,25.76,51.49,328.00,27.52,45.26
120274,25.77,51.52,330.00,27.53,45.13
150321,25.79,51.69,334.00,27.61,45.21
180365,25.76,51.72,339.00,27.64,45.15
210413,25.75,51.56,344.00,27.70,45.07
240458,25.76,51.28,346.00,27.73,44.83
270504,25.76,51.51,347.00,27.74,45.00
300550,25.79,51.56,350.00,27.77,44.86
330595,25.79,51.19,354.00,27.81,44.65
360640,25.80,51.33,355.00,27.82,44.62
millis,T_SHT40,RH_SHT40,CO2_SCD30,T_SCD30,RH_SCD30
631,26.17,51.18,0.00,27.49,45.51
30685,26.23,50.05,365.00,27.57,45.14
60730,26.14,49.56,364.00,27.73,44.39
90775,26.06,50.44,362.00,27.82,44.40
120821,25.98,50.15,360.00,27.89,44.16
150865,25.95,50.05,355.00,27.92,43.90
180915,25.89,51.22,348.00,27.94,44.37
210959,25.85,50.81,351.00,27.95,44.17
241005,25.81,50.86,349.00,27.98,43.94
271050,25.75,50.96,345.00,27.95,43.81
301095,25.67,50.62,340.00,27.96,43.64
331141,25.61,50.57,332.00,28.00,43.46
361187,25.60,50.82,320.00,27.96,43.46
391232,25.56,51.05,316.00,27.96,43.61
421277,25.55,51.12,319.00,28.00,43.69
451322,25.55,51.21,323.00,28.00,43.65
481369,25.51,51.32,329.00,28.01,43.75
511413,25.50,51.37,334.00,28.01,43.62
541459,25.48,51.22,337.00,28.01,43.52
571507,25.48,51.13,336.00,28.01,43.47
601552,25.50,50.47,330.00,28.01,43.10
631599,25.49,50.82,323.00,28.02,43.06
661644,25.50,50.34,296.00,27.98,42.90
691689,25.49,50.54,294.00,28.00,42.88
721734,25.51,50.54,295.00,27.98,42.97
751779,25.51,50.36,296.00,27.98,42.98
781825,25.50,50.35,293.00,27.98,42.99
811873,25.51,50.50,291.00,27.96,43.11
841918,25.56,50.35,290.00,27.96,42.99
871963,25.54,50.47,288.00,27.96,42.99
902008,25.53,50.50,288.00,27.96,43.10
932055,25.56,50.28,289.00,27.98,42.93
962102,25.54,50.01,290.00,27.98,42.95
992148,25.56,50.26,288.00,27.96,42.93
1022192,25.56,49.41,286.00,27.98,42.52
1052238,25.57,49.74,284.00,27.98,42.76
1082284,25.54,49.93,281.00,27.98,42.68
1112330,25.50,50.05,280.00,27.96,42.69
1142375,25.45,49.80,279.00,27.98,42.18
1172420,25.46,49.65,275.00,28.00,42.26
1202465,25.48,49.65,273.00,27.98,42.30
1232512,25.45,49.62,270.00,27.98,42.30
1262557,25.43,49.54,269.00,27.98,42.25
1292602,25.42,49.58,267.00,27.98,42.16
1322647,25.42,49.65,264.00,27.96,42.03
1352695,25.43,49.63,263.00,27.96,41.97
1382740,25.49,48.55,260.00,27.96,41.32
1412787,25.49,48.43,258.00,27.96,41.57
1442832,25.49,48.25,252.00,27.96,41.44
1472878,25.46,48.37,249.00,27.95,41.31
1502924,25.46,48.76,246.00,27.95,41.40
1532969,25.46,48.69,244.00,27.95,41.45
1563016,25.43,49.29,245.00,27.92,41.76
1593060,25.41,49.15,246.00,27.95,42.03
1623109,25.41,49.18,249.00,27.96,41.96
1653154,25.41,48.58,252.00,27.96,41.66
1683200,25.44,48.83,253.00,27.94,41.50
1713245,25.47,48.60,254.00,27.95,41.37
1743293,25.45,48.34,253.00,27.92,41.34
1773338,25.48,49.21,253.00,27.94,41.46
1803384,25.48,48.73,253.00,27.95,41.53
1833430,25.47,48.79,252.00,27.92,41.55
1863476,25.51,48.58,253.00,27.95,41.41
1893521,25.53,47.74,253.00,27.94,41.28
1923566,25.54,47.83,254.00,27.92,40.89
1953611,25.55,48.05,254.00,27.91,40.96
1983657,25.52,47.50,255.00,27.92,40.81
2013703,25.51,48.04,257.00,27.91,40.90
2043749,25.50,47.55,259.00,27.92,40.80
